dataset,model,number_of_shot,r,average_r,p,average_p
cola/raw/in_domain_dev.tsv,chavinlo/alpaca-native,8,"[0.8005770524153628, 0.8192806745361667, 0.6726961746351823]",0.764184634,"[7.487485949465664e-119, 6.534279889536006e-129, 1.0826330542530175e-70]",3.61E-71
cola/raw/in_domain_dev.tsv,gpt2,4,"[0.998508889379982, 0.6498154258553874, 0.6351360248989452]",0.761153447,"[0.0, 1.522266501122649e-64, 7.15905077262708e-61]",2.39E-61
cola/raw/in_domain_dev.tsv,gpt2,8,"[-0.42169745021832616, -0.43588260709766063, 0.9968005979818527]",0.046406847,"[3.895147717428003e-24, 7.534429191780544e-26, 0.0]",1.32E-24
cola/raw/in_domain_dev.tsv,togethercomputer/GPT-JT-6B-v1,4,"[0.9744533941743221, 0.9598140282169131, 0.9846531809822258]",0.972973534,"[0.0, 6.844583695955493e-292, 0.0]",2.28E-292
cola/raw/in_domain_dev.tsv,togethercomputer/GPT-JT-6B-v1,8,"[0.6720183230103491, 0.9801350456758263, 0.6955253798294456]",0.782559583,"[1.6771186016501738e-70, 0.0, 2.1038078410124774e-77]",5.59E-71
cola/raw/in_domain_dev.tsv,togethercomputer/GPT-NeoXT-Chat-Base-20B,4,"[0.8018375055109063, -0.16744243625064378, -0.5617066086860384]",0.024229487,"[1.700572291745433e-119, 0.0001124345347522956, 3.745600568245305e-45]",3.75E-05
cola/raw/in_domain_dev.tsv,togethercomputer/GPT-NeoXT-Chat-Base-20B,8,"[-0.3218241160896996, 0.9449347371596697, -0.3895217105913236]",0.07786297,"[3.652803358014165e-14, 7.658165854763472e-257, 1.5389163476564143e-20]",1.22E-14
multinli/multinli_1.0_dev_matched.txt,EleutherAI/gpt-j-6b,3,"[0.9909174146946598, 0.8486338777035469, 0.8760577943422703]",0.905203029,"[0.0, 0.0, 0.0]",0
multinli/multinli_1.0_dev_matched.txt,EleutherAI/gpt-j-6b,6,"[0.9695302868549986, 0.8881562754141923, 0.8443673420415945]",0.900684635,"[0.0, 0.0, 0.0]",0
multinli/multinli_1.0_dev_matched.txt,EleutherAI/gpt-neo-1.3B,3,"[0.9249086629799478, 0.9676974393584943, 0.869100355064747]",0.920568819,"[0.0, 0.0, 0.0]",0
multinli/multinli_1.0_dev_matched.txt,EleutherAI/gpt-neo-1.3B,6,"[0.2895065293957966, 0.7041112081177859, 0.466571610002572]",0.486729783,"[2.489089439811413e-192, 0.0, 0.0]",8.30E-193
multinli/multinli_1.0_dev_matched.txt,EleutherAI/gpt-neo-2.7B,3,"[0.8578311544518485, 0.8123456282412452, 0.9022213320454691]",0.857466038,"[0.0, 0.0, 0.0]",0
multinli/multinli_1.0_dev_matched.txt,EleutherAI/gpt-neo-2.7B,6,"[0.015229094093349176, 0.16313633226950067, 0.9521358960428353]",0.376833774,"[0.1278069141301531, 1.3373299099869172e-60, 0.0]",0.042602305
multinli/multinli_1.0_dev_matched.txt,chavinlo/alpaca-13b,3,"[0.3909794118842514, 0.732375948236678, 0.6277344517598467]",0.583696604,"[0.0, 0.0, 0.0]",0
multinli/multinli_1.0_dev_matched.txt,chavinlo/alpaca-13b,6,"[0.853072644916972, 0.5082533335450095, 0.8090116371182678]",0.723445872,"[0.0, 0.0, 0.0]",0
multinli/multinli_1.0_dev_matched.txt,chavinlo/alpaca-native,3,"[0.7716536545567095, 0.5587626166991587, 0.5290316627572897]",0.619815978,"[0.0, 0.0, 0.0]",0
multinli/multinli_1.0_dev_matched.txt,chavinlo/alpaca-native,6,"[0.9836762484319026, 0.9603535210578278, 0.9347944448926023]",0.959608071,"[0.0, 0.0, 0.0]",0
multinli/multinli_1.0_dev_matched.txt,gpt2,3,"[0.8390533333450138, 0.9072767226787424, 0.9381750423326354]",0.894835033,"[0.0, 0.0, 0.0]",0
multinli/multinli_1.0_dev_matched.txt,gpt2,6,"[0.8684795568100829, 0.8220144659135884, 0.9733623799299569]",0.887952134,"[0.0, 0.0, 0.0]",0
multinli/multinli_1.0_dev_matched.txt,togethercomputer/GPT-JT-6B-v1,3,"[0.8799566480168854, 0.8802272032032784, 0.7567473178759012]",0.838977056,"[0.0, 0.0, 0.0]",0
multinli/multinli_1.0_dev_matched.txt,togethercomputer/GPT-JT-6B-v1,6,"[0.7768813287562275, 0.7575586821375214, 0.8221634037928089]",0.785534472,"[0.0, 0.0, 0.0]",0
pubmed/pubmed_causal_annotation_test_folds.csv,EleutherAI/gpt-j-6b,4,"[0.6764895492500501, 0.6014891722716774, 0.9893399421193214]",0.755772888,"[0.0, 1.2430099959161138e-240, 0.0]",4.14E-241
pubmed/pubmed_causal_annotation_test_folds.csv,EleutherAI/gpt-j-6b,8,"[0.9590196023275338, 0.2776693116274081, 0.5021886357790987]",0.57962585,"[0.0, 1.5172347177973974e-44, 1.8921342249673716e-156]",5.06E-45
pubmed/pubmed_causal_annotation_test_folds.csv,EleutherAI/gpt-neo-1.3B,4,"[0.9818850534998363, 0.9878204116179643, 0.9955446764746249]",0.988416714,"[0.0, 0.0, 0.0]",0
pubmed/pubmed_causal_annotation_test_folds.csv,EleutherAI/gpt-neo-1.3B,8,"[0.9971029124770301, 0.9752147728750803, 0.9832810636137825]",0.985199583,"[0.0, 0.0, 0.0]",0
pubmed/pubmed_causal_annotation_test_folds.csv,EleutherAI/gpt-neo-2.7B,4,"[0.8344846446673939, 0.8973412288975335, 0.9774437239131029]",0.903089866,"[0.0, 0.0, 0.0]",0
pubmed/pubmed_causal_annotation_test_folds.csv,EleutherAI/gpt-neo-2.7B,8,"[0.7140586337104097, 0.8739485796701056, 0.8898648639293778]",0.825957359,"[0.0, 0.0, 0.0]",0
pubmed/pubmed_causal_annotation_test_folds.csv,chavinlo/alpaca-13b,4,"[0.3225001785727076, 0.21658034314810348, 0.9075840424777588]",0.482221521,"[2.5966676608548394e-60, 2.3549258215202298e-27, 0.0]",7.85E-28
pubmed/pubmed_causal_annotation_test_folds.csv,chavinlo/alpaca-13b,8,"[0.8625692807103266, 0.8773256370596508, 0.8504645852820187]",0.863453168,"[0.0, 0.0, 0.0]",0
pubmed/pubmed_causal_annotation_test_folds.csv,chavinlo/alpaca-native,4,"[0.5614484348942863, 0.5011811252220338, 0.9342570156154315]",0.665628859,"[3.1491078340281805e-203, 9.880123855778846e-156, 0.0]",3.29E-156
pubmed/pubmed_causal_annotation_test_folds.csv,chavinlo/alpaca-native,8,"[0.8962278215621765, 0.904729461840189, 0.9271292642762543]",0.909362183,"[0.0, 0.0, 0.0]",0
pubmed/pubmed_causal_annotation_test_folds.csv,gpt2,4,"[-0.21132181377553905, -0.18044922245769784, 0.9966094522826994]",0.201612805,"[4.304558395966739e-26, 2.3871979410759257e-19, 0.0]",7.96E-20
pubmed/pubmed_causal_annotation_test_folds.csv,gpt2,8,"[0.9074719737158897, -0.00984146778511204, 0.3876489001489873]",0.428426469,"[0.0, 0.6266176891557997, 1.580112424030774e-88]",0.208872563
pubmed/pubmed_causal_annotation_test_folds.csv,togethercomputer/GPT-JT-6B-v1,4,"[0.9507322527488828, 0.9549025752098184, 0.9642044996717143]",0.956613109,"[0.0, 0.0, 0.0]",0
pubmed/pubmed_causal_annotation_test_folds.csv,togethercomputer/GPT-JT-6B-v1,8,"[0.8714179311174464, 0.7345805231983521, 0.8643121945212439]",0.823436883,"[0.0, 0.0, 0.0]",0
rte/dev.csv,EleutherAI/gpt-j-6b,2,"[0.9954820664126095, 0.9717796349499457, 0.9704530734133537]",0.979238258,"[3.1234607790140244e-283, 1.5474151539886342e-174, 7.817876739815181e-172]",2.61E-172
rte/dev.csv,EleutherAI/gpt-j-6b,4,"[0.9521941364717499, -0.7258227681151469, -0.6824076493840987]",-0.152012094,"[1.1983004664276867e-143, 1.367551557872322e-46, 2.6225786464949235e-39]",8.74E-40
rte/dev.csv,EleutherAI/gpt-neo-1.3B,2,"[-0.814781182936525, 0.9161794396636742, -0.6763791127827414]",-0.191660285,"[4.6247314561576015e-67, 3.2754805338544833e-111, 2.143170773545781e-38]",7.14E-39
rte/dev.csv,EleutherAI/gpt-neo-1.3B,4,"[-0.9328398999615218, -0.3995757444537583, 0.6103978824624056]",-0.240672587,"[6.188430291397625e-124, 4.840575429559782e-12, 1.1413216067769716e-29]",1.61E-12
rte/dev.csv,EleutherAI/gpt-neo-2.7B,2,"[0.9962089922607951, 0.971136395743262, 0.9658530894160291]",0.977732826,"[1.0980188661807891e-293, 3.282837710552966e-173, 2.4885457306240042e-163]",8.30E-164
rte/dev.csv,EleutherAI/gpt-neo-2.7B,4,"[0.9685132110072414, -0.9526846415232167, -0.9963172310917049]",-0.326829554,"[4.288862245565454e-168, 3.0024722155202884e-144, 2.0607383776630146e-295]",1.00E-144
rte/dev.csv,chavinlo/alpaca-13b,2,"[0.8832578845869111, 0.5400474871306118, 0.5306682053771622]",0.651324526,"[1.9021146141403042e-92, 2.2630589095820515e-22, 1.5950941342449119e-21]",6.07E-22
rte/dev.csv,chavinlo/alpaca-13b,4,"[-0.5337023878590073, 0.9121749042736723, -0.792038875048465]",-0.137855453,"[8.537235143044146e-22, 1.5104060969204968e-108, 6.91868873041584e-61]",2.85E-22
rte/dev.csv,chavinlo/alpaca-native,2,"[0.8614151553498414, 0.00588694627654269, 0.010220120784360354]",0.292507407,"[6.846733875661735e-83, 0.9223006699381538, 0.8655355470020492]",0.595945406
rte/dev.csv,chavinlo/alpaca-native,4,"[0.774022040509423, 0.6962991613141507, 0.6172602715773177]",0.695860491,"[1.6144815785984257e-56, 1.6995852099055125e-41, 1.7594444158899956e-30]",5.86E-31
rte/dev.csv,gpt2,2,"[0.9816691253685766, -0.9220412098576337, -0.881461142284177]",-0.273944409,"[5.239925375691897e-200, 2.3209895864019766e-115, 1.3651350764723488e-91]",4.55E-92
rte/dev.csv,gpt2,4,"[0.9796509504835342, 0.9635946299574217, 0.9683404547541554]",0.970528678,"[7.879434727346913e-194, 1.4214797129456278e-159, 8.993302314610305e-168]",4.74E-160
rte/dev.csv,togethercomputer/GPT-JT-6B-v1,2,"[0.7869280463765965, -0.183846853064553, -0.612079472055461]",-0.002999426,"[1.3245586795275067e-59, 0.002124777810379523, 7.248670499017576e-30]",0.000708259
rte/dev.csv,togethercomputer/GPT-JT-6B-v1,4,"[0.4818009758622307, 0.10956621715580635, -0.7185977041341964]",-0.04241017,"[1.662874493391612e-17, 0.06863960898616352, 2.7729565847827162e-45]",0.02287987
snli/snli_1.0_test.txt,EleutherAI/gpt-j-6b,3,"[0.7878814412271855, 0.9901001194662707, 0.8567335295605937]",0.878238363,"[0.0, 0.0, 0.0]",0
snli/snli_1.0_test.txt,EleutherAI/gpt-j-6b,6,"[0.9482975434498246, 0.5326582387971546, 0.2710908796093055]",0.584015554,"[0.0, 0.0, 5.641522819077875e-168]",1.88E-168
snli/snli_1.0_test.txt,EleutherAI/gpt-neo-1.3B,3,"[0.6544548987690895, 0.587893446723708, 0.8975526013466084]",0.713300316,"[0.0, 0.0, 0.0]",0
snli/snli_1.0_test.txt,EleutherAI/gpt-neo-1.3B,6,"[0.39956821970731415, -0.09894088261757897, -0.7341842547137444]",-0.144518973,"[0.0, 3.5047781240471204e-23, 0.0]",1.17E-23
snli/snli_1.0_test.txt,EleutherAI/gpt-neo-2.7B,3,"[0.874312159762596, 0.1960844831365744, -0.14402066277675235]",0.308791993,"[0.0, 3.067720922893711e-87, 1.7233474534740763e-47]",5.74E-48
snli/snli_1.0_test.txt,EleutherAI/gpt-neo-2.7B,6,"[-0.004672125792480749, 0.7072959414701476, 0.24380374657512202]",0.315475854,"[0.6403877533269217, 0.0, 2.9701012177608647e-135]",0.213462584
snli/snli_1.0_test.txt,chavinlo/alpaca-13b,3,"[0.8406900298153643, 0.31960859045774787, 0.7115186645415283]",0.623939095,"[0.0, 2.9076900679925765e-236, 0.0]",9.69E-237
snli/snli_1.0_test.txt,chavinlo/alpaca-13b,6,"[-0.058990338551057536, 0.6974574350476574, 0.5602572827252315]",0.399574793,"[3.56004568933353e-09, 0.0, 0.0]",1.19E-09
snli/snli_1.0_test.txt,chavinlo/alpaca-native,3,"[0.616037771698391, 0.6544562017595374, 0.5696626582147941]",0.613385544,"[0.0, 0.0, 0.0]",0
snli/snli_1.0_test.txt,chavinlo/alpaca-native,6,"[0.9273133910179148, 0.9623158952926545, 0.9062605422239524]",0.931963276,"[0.0, 0.0, 0.0]",0
snli/snli_1.0_test.txt,gpt2,3,"[-0.26345115488803456, 0.20360722391825914, 0.8431946540859722]",0.261116908,"[2.0510687940730556e-158, 4.68875038867232e-94, 0.0]",1.56E-94
snli/snli_1.0_test.txt,gpt2,6,"[0.8954799666437153, 0.7447818371058468, 0.48320414946378476]",0.707821984,"[0.0, 0.0, 0.0]",0
snli/snli_1.0_test.txt,togethercomputer/GPT-JT-6B-v1,3,"[0.9014145303193644, 0.9034744182659944, 0.8275271705654272]",0.87747204,"[0.0, 0.0, 0.0]",0
snli/snli_1.0_test.txt,togethercomputer/GPT-JT-6B-v1,6,"[0.6547234945290761, 0.5787210184250592, -0.14154121020938235]",0.363967768,"[0.0, 0.0, 6.501449467872969e-46]",2.17E-46
